test_case,covered_branches
"RegressionTest3::test1976",30
"RegressionTest1::test0548",30
"RegressionTest1::test0575",30
"RegressionTest1::test0590",30
"RegressionTest1::test0613",30
"RegressionTest1::test0616",30
"RegressionTest1::test0691",30
"RegressionTest1::test0775",30
"RegressionTest1::test0792",30
"RegressionTest1::test0855",30
"RegressionTest1::test0874",30
"RegressionTest1::test0988",30
"RegressionTest2::test1025",30
"RegressionTest2::test1035",30
"RegressionTest2::test1050",30
"RegressionTest2::test1079",30
"RegressionTest2::test1080",30
"RegressionTest2::test1161",30
"RegressionTest2::test1179",30
"RegressionTest2::test1241",30
"RegressionTest2::test1277",30
"RegressionTest2::test1280",30
"RegressionTest2::test1348",30
"RegressionTest2::test1397",30
"RegressionTest2::test1404",30
"RegressionTest2::test1408",30
"RegressionTest2::test1449",30
"RegressionTest0::test0270",30
"RegressionTest0::test0285",30
"RegressionTest0::test0299",30
"RegressionTest0::test0352",30
"RegressionTest0::test0462",30
"RegressionTest0::test0488",30
"RegressionTest3::test1557",29
"RegressionTest3::test1653",29
"RegressionTest3::test1657",29
"RegressionTest3::test1713",29
"RegressionTest3::test1732",29
"RegressionTest3::test1956",29
"RegressionTest1::test0851",29
"RegressionTest1::test0923",29
"RegressionTest1::test0975",29
"RegressionTest2::test1054",29
"RegressionTest2::test1077",29
"RegressionTest2::test1275",29
"RegressionTest2::test1292",29
"RegressionTest2::test1493",29
"RegressionTest0::test0410",29
"RegressionTest0::test0426",29
"HelpFormatter_ESTest::test32",29
"RegressionTest3::test1804",28
"RegressionTest3::test1833",28
"RegressionTest3::test1935",28
"HelpFormatterTest::testHelpWithLongOptSeparator",28
"RegressionTest1::test0570",28
"RegressionTest1::test0610",28
"RegressionTest2::test1045",28
"RegressionTest2::test1130",28
"RegressionTest1::test0646",27
"RegressionTest1::test0840",27
"RegressionTest2::test1295",27
"RegressionTest2::test1467",27
"RegressionTest0::test0142",27
"RegressionTest0::test0180",27
"RegressionTest0::test0463",27
"HelpFormatter_ESTest::test27",27
"HelpFormatter_ESTest::test30",27
"RegressionTest3::test1760",26
"RegressionTest3::test1807",26
"RegressionTest3::test1920",26
"RegressionTest1::test0599",26
"RegressionTest1::test0763",26
"RegressionTest1::test0835",26
"RegressionTest1::test0844",26
"RegressionTest1::test0858",26
"RegressionTest2::test1084",26
"RegressionTest2::test1187",26
"RegressionTest2::test1207",26
"RegressionTest2::test1216",26
"RegressionTest2::test1472",26
"RegressionTest3::test1536",25
"RegressionTest3::test1711",25
"RegressionTest3::test1720",25
"RegressionTest3::test1740",25
"RegressionTest3::test1795",25
"RegressionTest3::test1945",25
"RegressionTest3::test1998",25
"RegressionTest1::test0626",25
"RegressionTest1::test0900",25
"RegressionTest2::test1022",25
"RegressionTest2::test1042",25
"RegressionTest2::test1062",25
"RegressionTest2::test1257",25
"RegressionTest2::test1283",25
"RegressionTest2::test1313",25
"RegressionTest2::test1375",25
"RegressionTest2::test1462",25
"RegressionTest2::test1477",25
"RegressionTest0::test0440",25
"RegressionTest0::test0445",25
"RegressionTest3::test1737",24
"HelpFormatterTest::testPrintOptions",24
"RegressionTest1::test0710",24
"RegressionTest1::test0876",24
"RegressionTest2::test1171",24
"RegressionTest2::test1285",24
"RegressionTest2::test1339",24
"RegressionTest2::test1359",24
"RegressionTest0::test0178",24
"RegressionTest0::test0392",24
"RegressionTest1::test1000",23
"RegressionTest0::test0095",23
"RegressionTest0::test0249",23
"HelpFormatter_ESTest::test31",23
"HelpFormatterTest::testPrintOptionGroupUsage",22
"HelpFormatterTest::testPrintRequiredOptionGroupUsage",22
"RegressionTest2::test1468",22
"RegressionTest0::test0413",22
"HelpFormatter_ESTest::test28",22
"RegressionTest0::test0117",21
"RegressionTest0::test0121",21
"RegressionTest0::test0460",21
"HelpFormatter_ESTest::test29",21
"RegressionTest3::test1602",20
"HelpFormatterTest::testUsageWithLongOptSeparator",20
"RegressionTest2::test1306",20
"RegressionTest2::test1435",20
"RegressionTest0::test0146",20
"RegressionTest0::test0159",20
"HelpFormatter_ESTest::test26",20
"HelpFormatter_ESTest::test33",20
"RegressionTest3::test1580",19
"RegressionTest3::test1953",19
"HelpFormatterTest::testDefaultArgName",19
"RegressionTest1::test0528",19
"RegressionTest1::test0677",19
"RegressionTest1::test0695",19
"RegressionTest2::test1009",19
"RegressionTest2::test1199",19
"RegressionTest2::test1370",19
"RegressionTest0::test0136",19
